#Hierarchical Translation and Rotation (.csv) file,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Head],,,,,,,,,,,,,,,,,,,,,,,,,,,
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits,,,,,,,,,,,,,,,,,,,,,,
3411,1,90,ZYX,X,mm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentNames&Hierarchy],,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentData],,,,,,,,,,,,,,,,,,,,,,,,,,,
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
3027,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3028,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3029,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3030,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3031,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3032,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3033,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3034,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3035,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3036,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3037,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3038,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3039,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3040,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3041,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3042,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3043,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3044,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3045,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3046,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3047,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3048,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3049,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3050,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3051,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3052,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3053,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3054,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3055,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3056,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3057,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3058,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3059,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3060,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3061,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3062,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3063,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3064,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3065,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3066,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3067,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3068,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3069,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3070,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3071,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3072,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3073,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3074,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3075,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3076,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3077,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3078,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3079,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3080,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3081,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3082,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3083,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3084,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3085,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3086,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3087,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3088,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3089,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3090,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3091,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3092,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3093,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3094,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3095,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3096,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3097,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3098,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3099,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3100,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3101,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3102,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3103,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3104,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3105,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3106,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3107,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3108,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3109,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3110,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3111,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3112,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3113,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3114,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3115,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3116,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3117,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3118,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3119,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3120,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3121,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3122,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3123,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3124,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3125,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3126,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3127,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3128,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3129,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3130,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3131,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3132,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3133,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3134,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3135,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
3136,0,0,0,0,141.707153,-89.500122,-25.161781,169.482468,2696.374512,-6351.855469,-12631.96289,14393.85254,0,0,0,0,-1.60668,1.579829,-5.428422,50.196911,-0.106728,-7.511973,11192.64356,641.699402,128.643173,0, 
